PitchNo,Date,Time,Pitcher,PitcherId,TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle
1,10/1/2024,8:29:54 AM,Lilly Whitten,,Riseball,63.33645116367929,6.0896413627864066,0.13815965653239493,1073.334167,94.07300285971898,9:15,1.731782505978108,0.7211749003061126,6.000000191999998,-29.78539646,1.3306229979844666,-1.10897257,3.0547869315779637,0.7147643725118721,58.205585106561784,-2.191133299,-0.171048552
2,10/1/2024,8:30:15 AM,Lilly Whitten,,Changeup,48.35126927569359,8.514484407498662,-1.090792183,930.3043518,96.34468873,9:15,1.9709899587828066,0.5886525465545237,6.000000191999998,-51.43747592,2.6364521693615686,-7.721727956,3.0250888115113588,-0.733919508,44.378859150872955,-5.745751494,-3.242204071
3,10/1/2024,8:30:43 AM,Lilly Whitten,,Curveball,64.76796668721826,4.558212204787351,-2.667469689,1178.05369,23.139268530892693,6:45,1.9052980079263309,0.6392511642790419,6.000000191999998,-33.26550891,-3.575416746,-2.268912339,1.979722056920227,-1.21151206,59.82225334173286,-4.68722464,-3.298587434
4,10/1/2024,8:31:03 AM,Lilly Whitten,,Riseball,62.767908911867124,8.480626358812746,-1.146992082,1056.993553,66.44532430705395,8:15,1.7809898515201006,0.11590898271542224,6.000000191999998,-31.36714678,0.6693442596638448,-1.116377882,4.486167264921966,-0.691214706,57.33840355240395,-0.201300758,-1.458113086
5,10/1/2024,8:31:22 AM,Lilly Whitten,,Changeup,48.427266549878304,9.555063150824619,0.13050309796735693,956.6049979,107.17974138790215,9:30,2.059828439531772,0.19837570768555002,6.000000191999998,-49.45015534,4.748549262149609,-9.216125992,3.9427370658743612,-0.488397168,44.18924827179225,-4.143582223,-2.439815511
6,10/1/2024,8:31:46 AM,Lilly Whitten,,Curveball,64.57379005423886,5.611941614610274,-3.347397992,1346.926639,30.58709490562487,7:00,1.8770008072801536,0.796071326,6.000000191999998,-32.37556728,-2.375773811,-2.311861831,2.6896462220273714,-1.482696265,59.46726808635892,-3.377657638,-3.989517274
7,10/1/2024,8:32:17 AM,Lilly Whitten,,Riseball,62.82665183348047,9.078692314,-0.122622545,1378.71017,111.09537176549792,9:45,1.5354192846835264,0.033449573,6.000000191999998,-29.87750471,2.2073663116244155,-1.134682195,4.7448579312137955,-0.137439315,57.266713189775075,0.8220700161767103,-0.439095163
8,10/1/2024,8:32:43 AM,Lilly Whitten,,Riseball,62.46470459202805,8.538018554716501,1.0965301468787338,1412.185714,101.99584423317555,9:30,1.5498354668375969,-0.289337877,6.000000191999998,-30.84887406,1.5111686196695047,-1.140435987,4.334643339276603,0.2982936324064119,57.03441733585363,0.001223552,0.77860825
9,10/1/2024,8:33:00 AM,Lilly Whitten,,Curveball,63.949915809672966,5.477868913067314,-3.247278913,1179.079005,15.538974603582021,6:30,1.7673799887617743,0.7469780571235366,6.000000191999998,-33.95607032,-3.397953255,-1.307898158,2.3635817258704934,-1.385595383,58.943635880874304,-3.950913189,-3.610675199
10,10/1/2024,8:33:48 AM,Lilly Whitten,,Riseball,62.538936217018794,6.157686503890829,0.8109936485212454,1343.473488,152.40300732178883,11:00,1.490797321806915,0.4049941113164322,6.000000191999998,-28.13675277,3.805202633843674,-0.909369421,2.9944084886336846,0.8340865054334686,57.42022837536338,-1.664272518,0.5574199407589451
11,10/1/2024,8:34:19 AM,Lilly Whitten,,Riseball,63.07764609883872,6.961392096688051,0.088979174,1189.063269,122.54798806661381,10:00,1.631830271741382,0.48652628293834993,6.000000191999998,-29.64191765,1.8441410230724529,-0.350473167,3.516557270312273,0.5127093168755626,57.82930752890195,-1.269529193,-0.008749572
12,10/1/2024,8:34:39 AM,Lilly Whitten,,Changeup,47.222543940638886,9.023567129,0.2552147193357198,920.3167535,90.63453998783356,9:00,2.016151455266663,0.2564173946370204,6.000000191999998,-54.57475602,2.2110090430738936,-9.165162652,3.1323429164834127,-0.348475269,43.31582950113795,-6.0961748,-2.300102093
13,10/1/2024,8:35:00 AM,Lilly Whitten,,Curveball,63.96343794896772,5.471844128853078,-1.965187343,1328.61215,35.60188719911497,7:15,1.9716215543605036,0.38955524850178214,6.000000191999998,-33.32972513,-2.842357863,-3.066740879,2.612743819886202,-1.089805676,58.950006842505836,-3.792756252,-2.818905331
14,10/1/2024,8:35:17 AM,Lilly Whitten,,,65.79317495709857,4.049985956,-2.626281866,1319.751006,21.987107085139616,6:45,1.8935240899689223,0.6098953163008884,6.000000191999998,-31.4455568,-2.715835084,-1.853470027,1.801019248226168,-1.180553705,60.80722898849898,-4.691762805,-3.141914261
15,10/1/2024,8:35:31 AM,Lilly Whitten,,Changeup,49.76239098144648,6.158443081073454,-2.659197524,1006.988082,99.86728411238329,9:15,1.9638895753994112,0.45741085438621654,6.000000191999998,-47.63855951,3.0386850691442504,-8.925016915,1.8465896263618207,-1.942867256,46.03451749542344,-7.050683397,-5.139768996
16,10/1/2024,8:35:53 AM,Lilly Whitten,,Curveball,66.08326666217343,3.178901576112942,-2.324218643,1238.957121,36.15590694980981,7:15,1.837556878,0.5672201408385585,6.000000191999998,-30.81366633,-2.388985148,-3.174014461,1.2522653778253436,-1.144889608,61.18538901356607,-5.387264227,-3.207632359
17,10/1/2024,8:36:09 AM,Lilly Whitten,,Curveball,65.47906321523715,4.111697954552581,-1.861171521,1175.637966,27.40472808793359,7:00,1.8637288437095352,0.7542351614639855,6.000000191999998,-31.8021565,-2.823196951,-2.321652101,1.778816377050071,-0.598213437,60.51707098601416,-4.733339004,-2.507733197
18,10/1/2024,8:36:33 AM,Lilly Whitten,,Riseball,61.19721610624399,6.703749018465472,-1.410841284,1433.823787,147.39993948201064,11:00,1.6054219978702833,-0.137377927,6.000000191999998,-29.12417118,4.333054604500127,-1.092248042,3.3718761894211315,-1.106817748,56.10744574779075,-1.386715257,-1.715295352
19,10/1/2024,8:36:56 AM,Lilly Whitten,,Changeup,47.067120222652704,9.757587380890483,0.470800487,843.7685725,98.97532365,9:15,1.9703097080521346,-0.002594321,6.000000191999998,-54.16910805,3.2227764826453225,-6.944849196,3.5898840205027387,-0.288254253,43.00801158973655,-5.238213439,-1.465809495
20,10/1/2024,8:37:16 AM,Lilly Whitten,,Curveball,64.27618712164208,4.371575413,-2.137944097,1058.079849,14.64923640642599,6:30,1.9464093835839484,0.22739901201430182,6.000000191999998,-33.78970503,-3.689270649,-1.437951359,1.859076382891729,-1.223907733,59.40992472177329,-5.022351544,-2.538293283
21,10/1/2024,8:37:43 AM,Lilly Whitten,,Curveball,64.34174311958294,5.527821036501767,-2.046976675,1138.231198,13.806461621348195,6:30,1.750741018562629,0.5338486812869024,6.000000191999998,-34.95677185,-4.829590095,-1.447907906,2.2916378414485545,-0.86158541,59.324374724380405,-4.186533097,-2.45004963
22,10/1/2024,8:38:01 AM,Lilly Whitten,,,65.84913991729974,4.266893345515366,-1.729932058,1176.421816,18.278669156245467,6:30,1.863484042503221,0.12711809048218498,6.000000191999998,-31.84087137,-3.185852418,-1.568982771,1.8723321642974768,-1.080831834,60.83829047466345,-4.589474571,-2.166961
23,10/1/2024,8:38:24 AM,Lilly Whitten,,Curveball,65.77442713,4.040558071490854,-2.953568025,1258.208215,39.15039705701526,7:15,1.9406030970614754,0.065149811,6.000000191999998,-30.70714148,-1.933744316,-3.090642296,1.904430660518744,-2.032615277,60.773799794766454,-4.494462289,-3.812743175
24,10/1/2024,8:38:41 AM,Lilly Whitten,,Riseball,63.70085327,8.505685979,-0.134502941,1344.147056,65.43694193400485,8:15,1.749004896543159,0.3936421635322067,6.000000191999998,-30.93279019,0.1564487409402311,-1.548891715,4.505274948640976,0.18084028942958644,58.19662647380195,-0.055195322,-0.566309969
25,10/1/2024,8:38:59 AM,Lilly Whitten,,Changeup,48.16971264269651,5.774900429789407,1.0435214371894725,950.2377946,97.21223209798458,9:15,1.9902900310862766,0.5277959489467442,6.000000191999998,-50.50423009,3.2487779683817095,-8.998769757,1.3892715839018819,0.4275571091671548,44.726270641926085,-8.226854736,-1.465166014
